corporate_identification_number,company_name,registered_state,date,rank
U85310BR2020NPL045294,MAANAV KALYAAN SEVA ASSOCIATION,Bihar,2020-01-31,1
U92490BR2020OPC045270,CHANDEV TENT DECORATORS (OPC) PRIVATELIMITED,Bihar,2020-01-31,1
U92490BR2020OPC045271,RAJVEK EVENT MANAGEMENT (OPC) PRIVATELIMITED,Bihar,2020-01-31,1
U80903BR2020PTC045278,BUDDHA EDUTECH PRIVATE LIMITED,Bihar,2020-01-31,1
U80904BR2020NPL045295,KIRTI SAGAR EDUCATIONAL FOUNDATION,Bihar,2020-01-31,1
U85100BR2020OPC045266,DR. S.K. SINGH VARANASI HOSPITAL ANDRESEARCH CENTER (OPC) PRIVATE LIMITED,Bihar,2020-01-31,1
U36910BR2020OPC045286,SANJAYANMOL LAHATHI UDYOG (OPC) PRIVATELIMITED,Bihar,2020-01-31,1
U36999BR2020PTC045285,JAVA SPORTS PRIVATE LIMITED,Bihar,2020-01-31,1
U18109BR2020OPC045290,SATYAMBRAJ READYMADE GARMENTS (OPC)PRIVATE LIMITED,Bihar,2020-01-31,1
U65999BR2020PLN045287,KRISHIMITR INDIA NIDHI LIMITED,Bihar,2020-01-31,1
U65999BR2020PTC045277,LANDINGMARTS FINSERV PRIVATE LIMITED,Bihar,2020-01-31,1
U45209BR2020PTC045268,BHAVYA BHASKAR INFRASTRUCTURE ANDHOSPITALITY PRIVATE LIMITED,Bihar,2020-01-31,1
U72900BR2020PTC045282,BEARTED CONSTRUCTIONS PRIVATE LIMITED,Bihar,2020-01-31,1
U45500BR2020PTC045272,KUNDRAJ CONSTRUCTION PRIVATE LIMITED,Bihar,2020-01-31,1
U45500BR2020PTC045293,P&V PROJECTS INDIA PRIVATE LIMITED,Bihar,2020-01-31,1
U74910BR2020PTC045280,RSMV CONSULTANCY SOLUTIONS PRIVATELIMITED,Bihar,2020-01-31,1
U74999BR2020PTC045267,ARCHMIK CONSTRUCTION PRIVATE LIMITED,Bihar,2020-01-31,1
U01114BR2020PTC045265,AKR POULTRY CONSULTANCY AND SERVICESPRIVATE LIMITED,Bihar,2020-01-30,2
U31909BR2020PTC045248,CAPTRONICS ELECTRIC PRIVATE LIMITED,Bihar,2020-01-30,2
U24304BR2020PTC045251,MACURE PHARMA PRIVATE LIMITED,Bihar,2020-01-30,2
U51900BR2020OPC045264,MINAPURV NIRMIT BHAWAN SAMAGRI (OPC)PRIVATE LIMITED,Bihar,2020-01-30,2
U51909BR2020PTC045242,MYSALVAGE TRADING INDIA PRIVATE LIMITED,Bihar,2020-01-30,2
U51909BR2020PTC045247,PHARMA CAPS INDIA PRIVATE LIMITED,Bihar,2020-01-30,2
U63030BR2020PTC045246,KAMARU INTELLIGENCE AND LOGISTICSERVICES PRIVATE LIMITED,Bihar,2020-01-30,2
